,date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
274,16/03/2021,320000,Appartement,22,1,2.300759,48.873411
9200,14/10/2021,604155,Appartement,48,2,2.323087,48.876538
146,04/02/2021,230300,Appartement,16,1,2.32583,48.879698
13021,27/12/2021,450000,Appartement,35,1,2.303058,48.874251
11724,02/12/2021,700000,Appartement,70,4,2.302572,48.877774
8337,14/09/2021,2514600,Appartement,145,5,2.304507,48.879161
222,08/03/2021,1578100,Appartement,110,5,2.31741,48.880738
999,31/03/2021,61000,Appartement,8,1,2.307342,48.872583
2755,21/05/2021,1461300,Appartement,125,6,2.321657,48.879211
5660,09/07/2021,758800,Appartement,70,2,2.315022,48.878287
211,12/03/2021,170000,Appartement,17,1,2.299523,48.870675
4645,28/06/2021,2280000,Appartement,153,5,2.312515,48.875451
7959,16/09/2021,545000,Appartement,50,2,2.319982,48.879615
13033,27/12/2021,434350,Appartement,41,3,2.322081,48.875556
3152,07/06/2021,140590,Appartement,13,1,2.314035,48.877908
13119,26/11/2021,178500,Appartement,14,1,2.307242,48.873671
7097,31/08/2021,416400,Appartement,34,1,2.322295,48.873919
783,02/04/2021,1751500,Appartement,137,4,2.306712,48.875219
10095,27/10/2021,1520000,Appartement,92,4,2.320038,48.879007
1125,20/04/2021,423500,Appartement,30,1,2.320373,48.873127
4119,08/06/2021,310000,Appartement,25,1,2.303375,48.876388
2636,17/05/2021,300000,Appartement,23,1,2.31754,48.87088
164,24/02/2021,730000,Appartement,61,3,2.301926,48.873003
12326,20/12/2021,803000,Appartement,66,3,2.321816,48.873596
1550,16/04/2021,626935,Appartement,61,3,2.297017,48.87575
29,14/01/2021,1865270,Appartement,159,6,2.302289,48.872965
24,20/01/2021,1599500,Appartement,115,5,2.325764,48.881334
2936,26/05/2021,620000,Appartement,61,4,2.317096,48.875756
9186,07/10/2021,655000,Appartement,52,2,2.300027,48.877899
10757,03/11/2021,2091600,Appartement,165,6,2.300788,48.877735
199,05/03/2021,532200,Appartement,35,1,2.311643,48.87549
228,17/03/2021,995000,Appartement,92,3,2.303671,48.868163
2736,28/05/2021,157500,Appartement,15,1,2.316533,48.875574
752,12/04/2021,400000,Appartement,33,1,2.306669,48.874195
8815,30/09/2021,930000,Appartement,87,3,2.306646,48.871446
3396,31/05/2021,791000,Appartement,66,3,2.326816,48.879851
154,19/02/2021,619000,Appartement,50,3,2.320647,48.870636
11775,26/11/2021,2925000,Appartement,148,6,2.301981,48.870082
12231,09/12/2021,930000,Appartement,76,2,2.299042,48.877841
7586,30/08/2021,2570000,Appartement,231,6,2.301943,48.878276
1361,26/04/2021,839750,Appartement,50,2,2.321719,48.873297
12341,15/12/2021,808000,Appartement,61,3,2.306373,48.874189
1606,09/04/2021,568350,Appartement,45,3,2.309475,48.871005
5539,13/07/2021,302000,Appartement,30,2,2.316697,48.875833
3421,04/06/2021,1923333,Appartement,98,3,2.305191,48.866074
6563,30/07/2021,563120,Appartement,43,2,2.323929,48.880521
2898,31/05/2021,2750000,Appartement,162,5,2.318301,48.871309
296,02/04/2021,180000,Appartement,18,2,2.322238,48.877187
260,19/03/2021,596900,Appartement,60,4,2.318547,48.881433
272,10/03/2021,650000,Appartement,58,3,2.321505,48.871755
158,24/02/2021,1455000,Appartement,130,3,2.315314,48.878936
145,25/02/2021,321820,Appartement,22,1,2.299366,48.877814
9574,24/09/2021,544800,Appartement,39,2,2.323937,48.871607
196,26/02/2021,700000,Appartement,71,2,2.318301,48.871309
7041,23/07/2021,547000,Appartement,35,1,2.300045,48.873495
2784,02/06/2021,350000,Appartement,26,1,2.326363,48.881194
6974,19/07/2021,1600000,Appartement,143,5,2.315712,48.873722
3535,07/06/2021,1159220,Appartement,92,4,2.318727,48.881344
12597,29/12/2021,1875000,Appartement,167,5,2.312705,48.878301
11263,26/11/2021,101295,Appartement,10,1,2.314207,48.880778
9634,15/10/2021,1164000,Appartement,100,4,2.304222,48.875267
1487,27/04/2021,1380000,Appartement,80,3,2.308384,48.865123
3233,31/05/2021,1238000,Appartement,105,4,2.32274,48.882036
