,type_local,surface_reelle_bati,longitude,latitude,trimestre_trimestre_1,trimestre_trimestre_2,trimestre_trimestre_3,trimestre_trimestre_4,année_2018,année_2019,année_2020,année_2021,année_2022,année_antérieur_a_2018,nb_pieces_0,nb_pieces_1,nb_pieces_2,nb_pieces_3,nb_pieces_4,nb_pieces_5,nb_pieces_6,nb_pieces_7,nb_pieces_8,nb_pieces_more_than_9
0,0,-1.0765817649163687,-0.9884227178062809,-0.7188162609203254,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,-0.5761049765564721,0.6001002475866767,1.0499250247533822,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,-0.65512762735014,-0.2273216042568109,1.005729256028807,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,0,-0.39171879137124704,0.8085549881282962,-0.43433753942996245,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,0,-0.7604911617416972,-0.5167221882040466,-0.8496958537071744,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,0.6619165525443248,-0.8684057999037176,0.05434640404378263,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,0.42484860016332116,-0.36194898019524985,0.02077722012092998,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,0,1.0833706901105535,-0.14626712837289843,-0.01625492863573457,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,0,0.9253253885232178,-0.6490804879947254,-0.9093524622603889,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,0,1.0570298065126642,0.30849649933244466,-0.06014718513103244,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,0,-0.44440055856702565,-0.7533212847516163,0.42713987073289406,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,0,-0.7078093945459186,0.30931429439376823,0.42783831453767346,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,0,0.003394462597092407,-0.46862241211216354,-0.8362572098166215,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,0,1.3204386424915573,0.04720487429149357,-0.42911566637506554,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14,0,-0.10196907179446478,0.5521579275588419,0.9250279139815694,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,0,-1.0502408813184794,0.07626711370956032,-0.03904760002917095,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,0,-0.6024458601543614,0.3515247254544819,0.1842313543443558,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,0,0.10875799698864959,0.03281412239149391,-0.1912790953134709,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,0,-0.65512762735014,-0.19838996793063013,-0.061609894670101355,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,0,-0.9448773469269223,0.13438671018711051,-0.5148816402017254,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,0,0.503871250956989,0.1535572911320964,0.23129403376559984,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,0,-0.4707414421649149,0.3985271914566157,0.3939875590286267,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,0,-1.102922648514258,0.10664758994288873,0.23330891615564517,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,0,-0.44440055856702565,0.15248073106629514,-0.7612604349718567,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,0,1.9789607324387897,-0.6757943129381815,0.6300725354169174,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,0,3.8228225842910404,-0.8830028314535121,0.05908192617669361,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,0,-0.4707414421649149,0.21474300879479322,-0.0685943327194542,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,0,0.10875799698864959,0.47798269490719364,0.24686823358328683,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,0,-0.9712182305248116,-0.23845460239759733,0.8762282669823237,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
29,0,-1.0502408813184794,0.5592654210544907,-0.08051175868946893,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,0,0.3458259493696533,0.5976785977334461,-0.10238292307340104,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,0,0.13509888058653888,-0.1786920922595331,-1.2297333893887492,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,0,-0.5497640929585829,0.35514133256895497,0.36346081094711014,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,0,0.767280086935882,-0.8006203540371822,0.06914536780602815,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,0,-0.9712182305248116,-0.08125608276663927,0.18296245381914727,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35,0,-0.9448773469269223,0.20988506201260373,0.209539886144866,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
36,0,-0.7078093945459186,-0.4039250580443592,-0.07126377762837188,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,0,0.7936209705337713,-0.9869458043373237,-0.7725671797091659,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,0,2.1633469176240148,-0.6073021456679077,0.22468624342255594,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,0,-0.44440055856702565,-0.40401171990906565,0.2717416092962787,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
40,0,-0.8131729289374757,-0.4545062928820116,-0.05937926262311221,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,0,-0.65512762735014,0.08466354986902504,1.1741785433282543,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
42,0,-0.4180596749691363,0.6032872071465535,0.7997834096940521,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,0,-0.8921955797311436,-0.3894940266861161,-0.6343301579405456,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
44,0,-0.8921955797311436,0.3023813452171795,-0.1179242119265928,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,0,-0.8131729289374757,0.5940668729775456,-0.5635788975330751,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
46,0,-0.4180596749691363,0.3673460084169702,0.2197971367880609,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47,0,0.6882574361422141,0.07703608518513187,-0.7607850543715423,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,0,-0.6814685109480293,0.2691446892174355,0.28428434359430127,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
49,0,-0.18099172258813268,0.49740349672915396,-1.0296456947580512,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,0,-0.9185364633290329,-0.5288878051834602,0.7662325096403924,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
51,0,0.10875799698864959,0.5850992008647955,-0.10967087335203142,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52,0,0.13509888058653888,0.4039490506542236,0.9988033263609233,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
53,0,-0.65512762735014,-0.6715661904121797,-0.6701007197197828,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
54,0,-0.9185364633290329,-0.3721286978242596,-0.05462545662100834,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
55,0,0.6619165525443248,-0.9547588554312187,-0.30889191258080384,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,-1.0502408813184794,0.1364910067329664,0.3596138848592082,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57,0,-0.7604911617416972,0.2681975116538731,-0.7289894057648172,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
58,0,1.0570298065126642,-0.4389352307964924,-0.6276967701805277,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
59,0,0.8199618541316606,-0.1243856178291059,-0.3823089611233015,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60,0,0.0824171133907603,-0.8680591524448916,-0.10733785163714636,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
61,0,-0.44440055856702565,-0.09338752323602914,1.2135327434783922,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
62,0,1.0570298065126642,-0.8775260457219379,0.050554329563719205,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,0,-0.5234232093606935,-0.1195642887362291,-0.8719729199880201,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
64,0,-0.33903702417546844,-0.547406591258674,-0.2928533024842143,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
65,0,0.29314418217387467,0.16994981004787538,-0.6056866483905738,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
66,0,2.9799143091585827,-0.34946723049809797,-0.4405833091619998,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
67,0,-0.6024458601543614,-0.1254707220224158,-0.9605765503204841,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
