,type_local,surface_reelle_bati,longitude,latitude,trimestre_trimestre_1,trimestre_trimestre_2,trimestre_trimestre_3,trimestre_trimestre_4,année_2018,année_2019,année_2020,année_2021,année_2022,année_antérieur_a_2018,nb_pieces_0,nb_pieces_1,nb_pieces_2,nb_pieces_3,nb_pieces_4,nb_pieces_5,nb_pieces_6,nb_pieces_7,nb_pieces_8,nb_pieces_more_than_9
0,0,-0.7142857142857143,-1.8458900867736097,-0.8274910991559644,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,-0.2619047619047619,0.8918201419931605,1.1726205490610146,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,-0.3333333333333333,-0.5341845911122873,1.1226434989723935,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,0,-0.09523809523809523,1.2510775703392103,-0.5057995046127736,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,0,-0.42857142857142855,-1.0329466210886253,-0.9754911487772198,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,0.8571428571428571,-1.6390491717065558,0.04680954881707753,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,0,0.6428571428571429,-0.7662056271364781,0.008849154988388487,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,0,1.2380952380952381,-0.3944927688666935,-0.033027196678552036,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,0,1.0952380952380953,-1.2610570602156304,-1.0429514826467696,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,0,1.2142857142857142,0.38926110965027155,-0.08266103187753872,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,0,-0.14285714285714285,-1.4407089140152654,0.4683684060357423,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,0,-0.38095238095238093,0.3906705232710981,0.4691582137938804,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,0,0.2619047619047619,-0.9500499605574603,-0.9602945858884326,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,0,1.4523809523809523,-0.06105706021562482,-0.4998945544613829,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0.16666666666666666,0.8091948461740692,1.0313855543748367,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,0,-0.6904761904761905,-0.010970286615830995,-0.05880139436209271,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,0,-0.2857142857142857,0.4634173021299004,0.19368484602896388,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,0,0.35714285714285715,-0.0858585327373192,-0.23094640472048494,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,0,-0.3333333333333333,-0.48432290297134706,-0.08431507953885933,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,0,-0.5952380952380952,0.08919484617406584,-0.5968796390867104,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,0,0.7142857142857143,0.12223402576912204,0.24690382953387915,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,0,-0.16666666666666666,0.5444228240862495,0.43087941579047384,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,0,-0.7380952380952381,0.04138837759662764,0.24918228018732333,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,0,-0.14285714285714285,0.12037864843543847,-0.8754874271701438,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,0,2.0476190476190474,-1.3070965027609847,0.6978468434566363,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,0,3.7142857142857144,-1.6642061530370826,0.05216452812080134,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,0,-0.16666666666666666,0.2276834078359174,-0.09221315712200315,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,0,0.35714285714285715,0.6813589271627641,0.2645153020083002,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,0,-0.6190476190476191,-0.5533715487772858,0.9762023892716992,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
29,0,-0.6904761904761905,0.8214441230607384,-0.10568951044312264,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,0,0.5714285714285714,0.8876465947935827,-0.1304216581001547,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,0,0.38095238095238093,-0.4503749671312137,-1.405241677038829,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,0,-0.23809523809523808,0.4696502760978117,0.39635944109741394,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,0,0.9523809523809523,-1.5222256113594612,0.06354437603129831,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,0,-0.6190476190476191,-0.28245069681830426,0.19224995968269334,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35,0,-0.5952380952380952,0.21931107020772656,0.222304005689835,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
36,0,-0.38095238095238093,-0.8385485143308027,-0.09523179410404549,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,0,0.9761904761904762,-1.843344727846446,-0.8882732155924988,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,0,2.2142857142857144,-1.1890549566132098,0.23943166922352394,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,0,-0.14285714285714285,-0.8386978701025603,0.2926423824903295,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
40,0,-0.47619047619047616,-0.9257217985800738,-0.08179265685544823,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,0,-0.3333333333333333,0.0035003944254515004,1.3131277627764935,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
42,0,-0.11904761904761904,0.8973126479095497,0.889757723368897,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,0,-0.5476190476190477,-0.8136776229292781,-0.7319533062345129,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
44,0,-0.5476190476190477,0.3787220615303691,-0.14799591450234734,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,0,-0.47619047619047616,0.8814220352353435,-0.6519470208533732,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
46,0,-0.11904761904761904,0.4906841966868216,0.233903014915382,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47,0,0.8809523809523809,-0.00964501709177263,-0.8749498616800824,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,0,-0.35714285714285715,0.3214409676571102,0.3068258411867267,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0.09523809523809523,0.7148293452537489,-1.1789803623190185,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
50,0,-0.5714285714285714,-1.0539132264002207,0.851818005135923,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
51,0,0.35714285714285715,0.8659668682618972,-0.13866295057293296,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52,0,0.38095238095238093,0.5537670260320819,1.1148115832955967,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
